# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0134
_ch0_neuron0,	0.0294
_ch0_neuron0,	0.0460
_ch0_neuron0,	0.0590
_ch0_neuron0,	0.0730
_ch0_neuron0,	0.0886
_ch0_neuron0,	0.1106
_ch0_neuron0,	0.1136
_ch0_neuron0,	0.1237
_ch0_neuron0,	0.1394
_ch0_neuron0,	0.1508
_ch0_neuron0,	0.1604
_ch0_neuron0,	0.1644
_ch0_neuron0,	0.1781
_ch0_neuron0,	0.1837
_ch0_neuron0,	0.1916
_ch0_neuron0,	0.2089
_ch0_neuron0,	0.2229
_ch0_neuron0,	0.2331
_ch0_neuron0,	0.2431
_ch0_neuron0,	0.2522
_ch0_neuron0,	0.2604
_ch0_neuron0,	0.2802
_ch0_neuron0,	0.2936
_ch0_neuron0,	0.3118
_ch0_neuron0,	0.3173
_ch0_neuron0,	0.3268
_ch0_neuron0,	0.3426
_ch0_neuron0,	0.3557
_ch0_neuron0,	0.3660
_ch0_neuron0,	0.3739
_ch0_neuron0,	0.3894
_ch0_neuron0,	0.4046
_ch0_neuron0,	0.4193
_ch0_neuron0,	0.4392
_ch0_neuron0,	0.4455
_ch0_neuron0,	0.4594
_ch0_neuron0,	0.4692
_ch0_neuron0,	0.4741
_ch0_neuron0,	0.4868
_ch0_neuron0,	0.5035
_ch0_neuron0,	0.5075
_ch0_neuron0,	0.5200
_ch0_neuron0,	0.5347
_ch0_neuron0,	0.5452
_ch0_neuron0,	0.5470
_ch0_neuron0,	0.5536
_ch0_neuron0,	0.5602
_ch0_neuron0,	0.5747
_ch0_neuron0,	0.5772
_ch0_neuron0,	0.5887
_ch0_neuron0,	0.6047
_ch0_neuron0,	0.6265
_ch0_neuron0,	0.6433
_ch0_neuron0,	0.6561
_ch0_neuron0,	0.6609
_ch0_neuron0,	0.6685
_ch0_neuron0,	0.6833
_ch0_neuron0,	0.7022
_ch0_neuron0,	0.7080
_ch0_neuron0,	0.7161
_ch0_neuron0,	0.7329
_ch0_neuron0,	0.7468
_ch0_neuron0,	0.7599
_ch0_neuron0,	0.7737
_ch0_neuron0,	0.7893
_ch0_neuron0,	0.8059
_ch0_neuron0,	0.8227
_ch0_neuron0,	0.8379
_ch0_neuron0,	0.8462
_ch0_neuron0,	0.8511
_ch0_neuron0,	0.8570
_ch0_neuron0,	0.8587
_ch0_neuron0,	0.8646
_ch0_neuron0,	0.8673
_ch0_neuron0,	0.8805
_ch0_neuron0,	0.8906
_ch0_neuron0,	0.8948
_ch0_neuron0,	0.9073
_ch0_neuron0,	0.9090
_ch0_neuron0,	0.9227
_ch0_neuron0,	0.9392
_ch0_neuron0,	0.9458
_ch0_neuron0,	0.9515
_ch0_neuron0,	0.9690
_ch0_neuron0,	0.9828
_ch0_neuron0,	0.9969
_ch0_neuron0,	1.0118
_ch0_neuron0,	1.0192
_ch0_neuron0,	1.0242
_ch0_neuron0,	1.0345
_ch0_neuron0,	1.0360
_ch0_neuron0,	1.0490
_ch0_neuron0,	1.0679
_ch0_neuron0,	1.0786
_ch0_neuron0,	1.0844
_ch0_neuron0,	1.0971
_ch0_neuron0,	1.0984
_ch0_neuron0,	1.1061
_ch0_neuron0,	1.1125
_ch0_neuron0,	1.1305
_ch0_neuron0,	1.1396
_ch0_neuron0,	1.1430
_ch0_neuron0,	1.1566
_ch0_neuron0,	1.1706
_ch0_neuron0,	1.1750
_ch0_neuron0,	1.1847
_ch0_neuron0,	1.1941
_ch0_neuron0,	1.2108
_ch0_neuron0,	1.2234
_ch0_neuron0,	1.2378
_ch0_neuron0,	1.2555
_ch0_neuron0,	1.2616
_ch0_neuron0,	1.2695
_ch0_neuron0,	1.2850
_ch0_neuron0,	1.3023
_ch0_neuron0,	1.3173
_ch0_neuron0,	1.3310
_ch0_neuron0,	1.3482
_ch0_neuron0,	1.3638
_ch0_neuron0,	1.3793
_ch0_neuron0,	1.3916
_ch0_neuron0,	1.4073
_ch0_neuron0,	1.4132
_ch0_neuron0,	1.4143
_ch0_neuron0,	1.4224
_ch0_neuron0,	1.4315
_ch0_neuron0,	1.4342
_ch0_neuron0,	1.4463
_ch0_neuron0,	1.4517
_ch0_neuron0,	1.4589
_ch0_neuron0,	1.4708
_ch0_neuron0,	1.4721
_ch0_neuron0,	1.4821
_ch0_neuron0,	1.4877
_ch0_neuron0,	1.4952
_ch0_neuron0,	1.4985
_ch0_neuron0,	1.5016
_ch0_neuron0,	1.5175
_ch0_neuron0,	1.5324
_ch0_neuron0,	1.5494
_ch0_neuron0,	1.5513
_ch0_neuron0,	1.5658
_ch0_neuron0,	1.5814
_ch0_neuron0,	1.5987
_ch0_neuron0,	1.6117
_ch0_neuron0,	1.6277
_ch0_neuron0,	1.6431
_ch0_neuron0,	1.6579
_ch0_neuron0,	1.6647
_ch0_neuron0,	1.6807
_ch0_neuron0,	1.6948
_ch0_neuron0,	1.7094
_ch0_neuron0,	1.7244
_ch0_neuron0,	1.7367
_ch0_neuron0,	1.7544
_ch0_neuron0,	1.7716
_ch0_neuron0,	1.7758
_ch0_neuron0,	1.7821
_ch0_neuron0,	1.7855
_ch0_neuron0,	1.7871
_ch0_neuron0,	1.7887
_ch0_neuron0,	1.7946
_ch0_neuron0,	1.7969
_ch0_neuron0,	1.7991
_ch0_neuron0,	1.8031
_ch0_neuron0,	1.8046
_ch0_neuron0,	1.8080
_ch0_neuron0,	1.8190
_ch0_neuron0,	1.8320
_ch0_neuron0,	1.8406
_ch0_neuron0,	1.8460
_ch0_neuron0,	1.8472
_ch0_neuron0,	1.8506
_ch0_neuron0,	1.8622
_ch0_neuron0,	1.8778
_ch0_neuron0,	1.8809
_ch0_neuron0,	1.8985
_ch0_neuron0,	1.9107
_ch0_neuron0,	1.9209
_ch0_neuron0,	1.9241
_ch0_neuron0,	1.9401
_ch0_neuron0,	1.9574
_ch0_neuron0,	1.9651
_ch0_neuron0,	1.9723
_ch0_neuron0,	1.9851
_ch0_neuron0,	1.9863
_ch0_neuron0,	2.0044
_ch0_neuron0,	2.0111
_ch0_neuron0,	2.0246
_ch0_neuron0,	2.0423
_ch0_neuron0,	2.0545
_ch0_neuron0,	2.0568
_ch0_neuron0,	2.0765
_ch0_neuron0,	2.0908
_ch0_neuron0,	2.1047
_ch0_neuron0,	2.1090
_ch0_neuron0,	2.1170
_ch0_neuron0,	2.1331
_ch0_neuron0,	2.1507
_ch0_neuron0,	2.1692
_ch0_neuron0,	2.1818
_ch0_neuron0,	2.1994
_ch0_neuron0,	2.2121
_ch0_neuron0,	2.2173
_ch0_neuron0,	2.2314
_ch0_neuron0,	2.2427
_ch0_neuron0,	2.2503
_ch0_neuron0,	2.2556
_ch0_neuron0,	2.2684
_ch0_neuron0,	2.2815
_ch0_neuron0,	2.3006
_ch0_neuron0,	2.3196
_ch0_neuron0,	2.3272
_ch0_neuron0,	2.3414
_ch0_neuron0,	2.3602
_ch0_neuron0,	2.3747
_ch0_neuron0,	2.3888
_ch0_neuron0,	2.4005
_ch0_neuron0,	2.4144
_ch0_neuron0,	2.4263
_ch0_neuron0,	2.4387
_ch0_neuron0,	2.4474
_ch0_neuron0,	2.4569
_ch0_neuron0,	2.4607
_ch0_neuron0,	2.4727
_ch0_neuron0,	2.4818
_ch0_neuron0,	2.4874
_ch0_neuron0,	2.5012
_ch0_neuron0,	2.5202
_ch0_neuron0,	2.5400
_ch0_neuron0,	2.5479
_ch0_neuron0,	2.5543
_ch0_neuron0,	2.5697
_ch0_neuron0,	2.5826
_ch0_neuron0,	2.5982
_ch0_neuron0,	2.6116
_ch0_neuron0,	2.6254
_ch0_neuron0,	2.6326
_ch0_neuron0,	2.6444
_ch0_neuron0,	2.6609
_ch0_neuron0,	2.6753
_ch0_neuron0,	2.6968
_ch0_neuron0,	2.6997
_ch0_neuron0,	2.7136
_ch0_neuron0,	2.7306
_ch0_neuron0,	2.7481
_ch0_neuron0,	2.7587
_ch0_neuron0,	2.7696
_ch0_neuron0,	2.7842
_ch0_neuron0,	2.7912
_ch0_neuron0,	2.7963
_ch0_neuron0,	2.8029
_ch0_neuron0,	2.8071
_ch0_neuron0,	2.8116
_ch0_neuron0,	2.8287
_ch0_neuron0,	2.8427
_ch0_neuron0,	2.8452
_ch0_neuron0,	2.8542
_ch0_neuron0,	2.8613
_ch0_neuron0,	2.8763
_ch0_neuron0,	2.8941
_ch0_neuron0,	2.9118
_ch0_neuron0,	2.9283
_ch0_neuron0,	2.9434
_ch0_neuron0,	2.9569
_ch0_neuron0,	2.9643
_ch0_neuron0,	2.9724
_ch0_neuron0,	2.9768
_ch0_neuron0,	2.9874
_ch0_neuron0,	3.0009
_ch0_neuron0,	3.0173
_ch0_neuron0,	3.0346
